"","id","phase","perf"
"97",49,"pre",3.43746659860332
"98",49,"post",6.30652212523704
"99",50,"pre",2.9528599281799
"100",50,"post",5.79471581993864
"101",51,"pre",2.88790487068956
"102",51,"post",5.95396450210334
"103",52,"pre",3.31174166282982
"104",52,"post",6.01410167828491
"105",53,"pre",3.02585754703219
"106",53,"post",6.34301299737666
"107",54,"pre",3.09218324119784
"108",54,"post",5.74698775307869
"109",55,"pre",2.86262942962129
"110",55,"post",5.91086760598001
"111",56,"pre",3.24481635948789
"112",56,"post",6.07196276541147
"113",57,"pre",3.08015429011881
"114",57,"post",6.02213654318902
"115",58,"pre",2.88883177304918
"116",58,"post",6.35738262736062
"117",59,"pre",3.09957009564585
"118",59,"post",5.60667656867407
"119",60,"pre",3.14027118031274
"120",60,"post",5.90544171845441
"121",61,"pre",2.78643525880263
"122",61,"post",5.95640501706834
"123",62,"pre",2.79479911033855
"124",62,"post",5.85422175414177
"125",63,"pre",2.87499214643015
"126",63,"post",5.66266133785152
"127",64,"pre",3.1675574088989
"128",64,"post",6.0306746235673
"129",65,"pre",2.77237261259761
"130",65,"post",6.25076298421398
"131",66,"pre",3.08529284429536
"132",66,"post",5.94098570340155
"133",67,"pre",3.179025132209
"134",67,"post",6.17562669750661
"135",68,"pre",3.1643162163275
"136",68,"post",6.13772805082002
"137",69,"pre",3.11078353070752
"138",69,"post",5.98761765788466
"139",70,"pre",2.93880746725202
"140",70,"post",5.92390579979752
"141",71,"pre",2.8610586042159
"142",71,"post",5.95841654439608
"143",72,"pre",2.74692072968635
"144",72,"post",6.4337911930677
"145",73,"pre",3.241592399661
"146",73,"post",5.77537828335933
"147",74,"pre",2.91942303294018
"148",74,"post",5.90666892927536
"149",75,"pre",3.15599302366726
"150",75,"post",5.98332618670563
"151",76,"pre",3.05066370279895
"152",76,"post",5.99429064893026
"153",77,"pre",2.99142590854174
"154",77,"post",6.27372045680289
"155",78,"pre",2.95484580286815
"156",78,"post",6.30329412088591
"157",79,"pre",2.69024943915396
"158",79,"post",6.11692274992721
"159",80,"pre",3.02477084876892
"160",80,"post",6.0431883137488
"161",81,"pre",3.07592789655198
"162",81,"post",5.89953530937814
"163",82,"pre",2.93335852326612
"164",82,"post",5.79628492337858
"165",83,"pre",2.78564175470488
"166",83,"post",6.06070572828085
"167",84,"pre",3.08964195572589
"168",84,"post",6.0106008453461
"169",85,"pre",3.18445349357595
"170",85,"post",6.41001693712543
"171",86,"pre",2.90179376678869
"172",86,"post",5.53816622487184
"173",87,"pre",3.20114770489245
"174",87,"post",5.85815984748352
"175",88,"pre",2.86239827670653
"176",88,"post",6.20511427393934
"177",89,"pre",2.9430453985898
"178",89,"post",5.75585645754909
"179",90,"pre",3.03626069594983
"180",90,"post",5.97222172751219
"181",91,"pre",3.00115283717998
"182",91,"post",6.07705608022527
"183",92,"pre",2.92586799364152
"184",92,"post",6.12887530970377
"185",93,"pre",2.95590268763625
"186",93,"post",6.06635639278314
"187",94,"pre",3.21936780262987
"188",94,"post",6.08703629816676
"189",95,"pre",2.93481368289375
"190",95,"post",6.22976152369022
"191",96,"pre",3.19870077119242
"192",96,"post",6.10967939190161
"193",97,"pre",3.04774634702229
"194",97,"post",5.87441878479213
"195",98,"pre",3.272130489706
"196",98,"post",5.87994808257057
"197",99,"pre",3.43746659860332
"198",99,"post",6.30652212523704
"199",100,"pre",2.9528599281799
"200",100,"post",5.79471581993864
